frame,baseline_psnr,baseline_ssim,baseline_mse,finetuned_psnr,finetuned_ssim,finetuned_mse
triplet_00072,52.13469239549057,0.9961405354581118,0.3977508544921875,52.051033608232075,0.9961995911442588,0.405487060546875
triplet_00073,32.41147696581023,0.8950495267347014,37.31922912597656,33.17369601653994,0.908226106787238,31.311996459960938
triplet_00074,33.10071555141457,0.9156660211589509,31.842620849609375,33.888528290994124,0.9298518173426409,26.559967041015625
triplet_00075,33.18788622078627,0.8909751246968369,31.209854125976562,34.01843483213402,0.9071891886001172,25.777267456054688
triplet_00076,40.115278924541244,0.9758412473533239,6.3321685791015625,41.455268061604365,0.9816668749856342,4.6510772705078125
triplet_00077,31.087285457372296,0.8127325948211044,50.62345886230469,32.32035145277763,0.8579445010331205,38.11054992675781
triplet_00078,30.825497797420248,0.8391317289662378,53.768829345703125,32.79886347667406,0.8963326963702957,34.13453674316406
triplet_00079,32.85530933024142,0.9214600554767045,33.693756103515625,33.93412154787865,0.9355731834124735,26.2825927734375
triplet_00080,33.49377017414992,0.9148524048447996,29.087295532226562,34.58230001455915,0.9311953187603413,22.638641357421875
triplet_00081,31.362429384476854,0.8595449524108335,47.51573181152344,32.93821043082136,0.8988949645895349,33.05668640136719
triplet_00082,33.34381701483804,0.9520807299492772,30.109161376953125,34.15919568207984,0.9597599406232936,24.955184936523438
triplet_00083,33.526414548572816,0.9303775644055942,28.869476318359375,33.947174092017804,0.9359357774161481,26.203720092773438
triplet_00084,30.355857711030904,0.8836557491331869,59.90934753417969,31.464437709370966,0.9001167920058285,46.41267395019531
triplet_00085,30.444617001971203,0.8874683291658115,58.69737243652344,31.3955697944896,0.9030263691823386,47.15452575683594
triplet_00086,34.03752374492465,0.9400460795548526,25.664215087890625,35.717842968403374,0.9540744953520934,17.429946899414062
triplet_00087,31.01640914504381,0.9107782466426488,51.45640563964844,31.762855360002924,0.9224550795718184,43.33061218261719
triplet_00088,33.686588108389344,0.9284107089563979,27.824127197265625,34.23871001546747,0.934742217486754,24.50244140625
triplet_00089,28.30876022322109,0.8743221907402947,95.98521423339844,29.984043886910683,0.9050321842179461,65.26434326171875
triplet_00090,32.229341122343705,0.8842080691003537,38.91761779785156,33.269969064484684,0.903802190773891,30.625518798828125
triplet_00091,44.65299658710229,0.9837827780151562,2.2273101806640625,45.48508375561074,0.9872300580444798,1.838958740234375
triplet_00092,36.626586217890534,0.9158105986949807,14.13909912109375,38.28060539602559,0.9427990355476493,9.66094970703125
